order	chunk_id	kind	origin_level	start_line	end_line	source_rel	target_rel	heading_path
1	00	document	0	1	33	source/master-ja-00.md	en/master-en-00.md	
2	01	section	2	34	106	source/master-ja-01.md	en/master-en-01.md	はじめに <!-- {#benefits-of-offbeat-count-theory} -->
3	02	section	2	107	213	source/master-ja-02.md	en/master-en-02.md	グルーヴ四原則とは <!-- {#the-four-principles-of-groove}-->
4	03-00	preamble	2	214	217	source/master-ja-03-00.md	en/master-en-03-00.md	何故日本人は縦乗りなのか <!-- {#tatenori-theory} -->
5	03-01	section	3	218	253	source/master-ja-03-01.md	en/master-en-03-01.md	何故日本人は縦乗りなのか <!-- {#tatenori-theory} --> > 縦乗りとは
6	03-02	section	3	254	279	source/master-ja-03-02.md	en/master-en-03-02.md	何故日本人は縦乗りなのか <!-- {#tatenori-theory} --> > 縦乗りが与える影響
7	03-03	section	3	280	425	source/master-ja-03-03.md	en/master-en-03-03.md	何故日本人は縦乗りなのか <!-- {#tatenori-theory} --> > 縦乗りという盲点
8	03-04	section	3	426	464	source/master-ja-03-04.md	en/master-en-03-04.md	何故日本人は縦乗りなのか <!-- {#tatenori-theory} --> > 縦乗りとモーラ拍リズム
9	03-05	section	3	465	492	source/master-ja-03-05.md	en/master-en-03-05.md	何故日本人は縦乗りなのか <!-- {#tatenori-theory} --> > 縦乗りと横乗りの比較
10	03-06	section	3	493	507	source/master-ja-03-06.md	en/master-en-03-06.md	何故日本人は縦乗りなのか <!-- {#tatenori-theory} --> > 横乗りの人は縦乗りにすぐに気付く
11	03-07	section	3	508	513	source/master-ja-03-07.md	en/master-en-03-07.md	何故日本人は縦乗りなのか <!-- {#tatenori-theory} --> > 縦乗りの人は縦乗りに気付かない
12	03-08	section	3	514	517	source/master-ja-03-08.md	en/master-en-03-08.md	何故日本人は縦乗りなのか <!-- {#tatenori-theory} --> > 縦乗りははっきりと定量化出来る
13	03-09	section	3	518	521	source/master-ja-03-09.md	en/master-en-03-09.md	何故日本人は縦乗りなのか <!-- {#tatenori-theory} --> > 縦乗りの人には見えないことがある
14	03-10	section	3	522	533	source/master-ja-03-10.md	en/master-en-03-10.md	何故日本人は縦乗りなのか <!-- {#tatenori-theory} --> > 縦乗りの人には出来ないことがある
15	03-11	section	3	534	566	source/master-ja-03-11.md	en/master-en-03-11.md	何故日本人は縦乗りなのか <!-- {#tatenori-theory} --> > 縦乗りが起こす問題
16	03-12	section	3	567	636	source/master-ja-03-12.md	en/master-en-03-12.md	何故日本人は縦乗りなのか <!-- {#tatenori-theory} --> > 縦乗りの主な原因
17	03-13	section	3	637	676	source/master-ja-03-13.md	en/master-en-03-13.md	何故日本人は縦乗りなのか <!-- {#tatenori-theory} --> > 縦乗りを克服するにはどうすればよいか
18	03-14	section	3	677	688	source/master-ja-03-14.md	en/master-en-03-14.md	何故日本人は縦乗りなのか <!-- {#tatenori-theory} --> > まとめ
19	04	section	2	689	808	source/master-ja-04.md	en/master-en-04.md	<ruby><rb>強拍が先か弱拍が先か</rb><rt>リズモクロニック・アナリシス</rt></ruby> <!-- {#headians-and-bottomians-of-beat-orientation} -->
20	05-00	preamble	2	809	812	source/master-ja-05-00.md	en/master-en-05-00.md	{{<meta var.PHONORHYTHMATOLOGY.en>}} <!-- {#phonorhythmatological-theory } -->
21	05-01	section	3	813	830	source/master-ja-05-01.md	en/master-en-05-01.md	{{<meta var.PHONORHYTHMATOLOGY.en>}} <!-- {#phonorhythmatological-theory } --> > 主だった三つの拍リズム  <!-- {#three-rhythms} -->
22	05-02	section	3	831	833	source/master-ja-05-02.md	en/master-en-05-02.md	{{<meta var.PHONORHYTHMATOLOGY.en>}} <!-- {#phonorhythmatological-theory } --> > シラブル拍リズムの特徴
23	05-03	section	3	834	836	source/master-ja-05-03.md	en/master-en-05-03.md	{{<meta var.PHONORHYTHMATOLOGY.en>}} <!-- {#phonorhythmatological-theory } --> > ストレス拍リズムの特徴
24	05-04	section	3	837	839	source/master-ja-05-04.md	en/master-en-05-04.md	{{<meta var.PHONORHYTHMATOLOGY.en>}} <!-- {#phonorhythmatological-theory } --> > モーラ拍リズムの特徴
25	05-05	section	3	840	847	source/master-ja-05-05.md	en/master-en-05-05.md	{{<meta var.PHONORHYTHMATOLOGY.en>}} <!-- {#phonorhythmatological-theory } --> > 日本人が英語が苦手になる原理
26	05-06	section	3	848	850	source/master-ja-05-06.md	en/master-en-05-06.md	{{<meta var.PHONORHYTHMATOLOGY.en>}} <!-- {#phonorhythmatological-theory } --> > リズム認識は拍リズムによって異なる
27	05-07	section	3	851	914	source/master-ja-05-07.md	en/master-en-05-07.md	{{<meta var.PHONORHYTHMATOLOGY.en>}} <!-- {#phonorhythmatological-theory } --> > シラブル拍リズムの詳細
28	05-08	section	3	915	1189	source/master-ja-05-08.md	en/master-en-05-08.md	{{<meta var.PHONORHYTHMATOLOGY.en>}} <!-- {#phonorhythmatological-theory } --> > ストレス拍リズムの詳細
29	05-09	section	3	1190	1327	source/master-ja-05-09.md	en/master-en-05-09.md	{{<meta var.PHONORHYTHMATOLOGY.en>}} <!-- {#phonorhythmatological-theory } --> > モーラ拍リズムの詳細
30	06	section	2	1328	1425	source/master-ja-06.md	en/master-en-06.md	{{<meta var.MORA_SPEAKERS.en>}}への手紙 <!-- {#letter-to-native-mora-timed-speakers} -->
31	07	section	2	1426	1533	source/master-ja-07.md	en/master-en-07.md	{{<meta var.SCHIZORHYTHMOS.en>}}と{{<meta var.SOLIRHYTHMOS.en>}} <!-- {#schizorhythmos-and-solirhythmos} -->
32	08	section	2	1534	1636	source/master-ja-08.md	en/master-en-08.md	{{<meta var.METRE.en>}}とは <!-- {#the-crossing-point-of-language-and-music} -->
